adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
1.4872,1.4872,2019-11-21,0.0000,1.4872,1.4872,1.4872,1.0000,416
1.2500,1.2500,2019-11-20,0.0000,1.2500,1.2500,1.2500,1.0000,0
1.2500,1.2500,2019-11-19,0.0000,1.2500,1.2500,1.2500,1.0000,0
1.2500,1.2500,2019-11-18,0.0000,1.2500,1.2500,1.2500,1.0000,0
1.2500,1.2500,2019-11-15,0.0000,1.2500,1.2500,1.2500,1.0000,0
1.2500,1.2500,2019-11-14,0.0000,1.2500,1.2500,1.2500,1.0000,0
1.2500,1.2500,2019-11-13,0.0000,1.2500,1.2500,1.2500,1.0000,0
1.2500,1.2500,2019-11-12,0.0000,1.2500,1.2500,1.2500,1.0000,0
1.2500,1.2500,2019-11-11,0.0000,1.2500,1.2500,1.2500,1.0000,0
1.2500,1.2500,2019-11-08,0.0000,1.2500,1.2500,1.2500,1.0000,0
1.2500,1.2500,2019-11-07,0.0000,1.2500,1.2500,1.2500,1.0000,0
1.2500,1.2500,2019-11-06,0.0000,1.2500,1.2500,1.2500,1.0000,0
1.2500,1.2500,2019-11-05,0.0000,1.2500,1.2500,1.2500,1.0000,0
1.2500,1.2500,2019-11-04,0.0000,1.2500,1.2500,1.2500,1.0000,0
1.2500,1.2500,2019-11-01,0.0000,1.2500,1.2500,1.2500,1.0000,0
1.2500,1.2500,2019-10-31,0.0000,1.2500,1.2500,1.2500,1.0000,0
1.2500,1.2500,2019-10-30,0.0000,1.2500,1.2500,1.2500,1.0000,0
1.2500,1.2500,2019-10-29,0.0000,1.2500,1.2500,1.2500,1.0000,0
1.2500,1.2500,2019-10-28,0.0000,1.2500,1.2500,1.2500,1.0000,10000
1.2500,1.2500,2019-10-25,0.0000,1.2500,1.2500,1.2500,1.0000,0
1.2500,1.2500,2019-10-24,0.0000,1.2500,1.2500,1.2500,1.0000,0
1.2500,1.2500,2019-10-23,0.0000,1.2500,1.2500,1.2500,1.0000,0
1.2500,1.2500,2019-10-22,0.0000,1.2500,1.2500,1.2500,1.0000,0
1.2500,1.2500,2019-10-21,0.0000,1.2500,1.2500,1.2500,1.0000,10000
1.2000,1.2000,2019-10-18,0.0000,1.2000,1.2000,1.2000,1.0000,0
1.2000,1.2000,2019-10-17,0.0000,1.2000,1.2000,1.2000,1.0000,0
1.2000,1.2000,2019-10-16,0.0000,1.2000,1.2000,1.2000,1.0000,0
1.2000,1.2000,2019-10-15,0.0000,1.2000,1.2000,1.2000,1.0000,0
1.2000,1.2000,2019-10-14,0.0000,1.2000,1.2000,1.2000,1.0000,0
1.2000,1.2000,2019-10-11,0.0000,1.2000,1.2000,1.2000,1.0000,0
1.2000,1.2000,2019-10-10,0.9000,1.2000,1.2000,1.2000,1.0000,0
0.6857,1.2000,2019-10-09,0.0000,1.2000,1.2000,1.2000,1.0000,0
0.6857,1.2000,2019-10-08,0.0000,1.2000,1.2000,1.2000,1.0000,0
0.6857,1.2000,2019-10-07,0.0000,1.2000,1.2000,1.2000,1.0000,0
0.6857,1.2000,2019-10-04,0.0000,1.2000,1.2000,1.2000,1.0000,0
0.6857,1.2000,2019-10-03,0.0000,1.2000,1.2000,1.2000,1.0000,0
0.6857,1.2000,2019-10-02,0.0000,1.2000,1.2000,1.2000,1.0000,0
0.6857,1.2000,2019-10-01,0.0000,1.2000,1.2000,1.2000,1.0000,0
0.6857,1.2000,2019-09-30,0.0000,1.2000,1.2000,1.2000,1.0000,0
0.6857,1.2000,2019-09-27,0.0000,1.2000,1.2000,1.2000,1.0000,0
0.6857,1.2000,2019-09-26,0.0000,1.2000,1.2000,1.2000,1.0000,0
0.6857,1.2000,2019-09-25,0.0000,1.2000,1.2000,1.2000,1.0000,0
0.6857,1.2000,2019-09-24,0.0000,1.2000,1.2000,1.2000,1.0000,0
0.6857,1.2000,2019-09-23,0.0000,1.2000,1.2000,1.2000,1.0000,0
0.6857,1.2000,2019-09-20,0.0000,1.2000,1.2000,1.2000,1.0000,0
0.6857,1.2000,2019-09-19,0.0000,1.2000,1.2000,1.2000,1.0000,0
0.6857,1.2000,2019-09-18,0.0000,1.2000,1.2000,1.2000,1.0000,0
0.6857,1.2000,2019-09-17,0.0000,1.2000,1.2000,1.2000,1.0000,0
0.6857,1.2000,2019-09-16,0.0000,1.2000,1.2000,1.2000,1.0000,0
0.6857,1.2000,2019-09-13,0.0000,1.2000,1.2000,1.2000,1.0000,0
0.6857,1.2000,2019-09-12,0.0000,1.2000,1.2000,1.2000,1.0000,0
0.6857,1.2000,2019-09-11,0.0000,1.2000,1.2000,1.2000,1.0000,0
0.6857,1.2000,2019-09-10,0.0000,1.2000,1.2000,1.2000,1.0000,0
0.6857,1.2000,2019-09-09,0.0000,1.2000,1.2000,1.2000,1.0000,0
0.6857,1.2000,2019-09-06,0.0000,1.2000,1.2000,1.2000,1.0000,0
0.6857,1.2000,2019-09-05,0.0000,1.2000,1.2000,1.2000,1.0000,0
0.6857,1.2000,2019-09-04,0.0000,1.2000,1.2000,1.2000,1.0000,0
0.6857,1.2000,2019-09-03,0.0000,1.2000,1.2000,1.2000,1.0000,100
0.8857,1.5500,2019-08-30,0.0000,1.5500,1.5500,1.5500,1.0000,0
0.8857,1.5500,2019-08-29,0.0000,1.5500,1.5500,1.5500,1.0000,0
0.8857,1.5500,2019-08-28,0.0000,1.5500,1.5500,1.5500,1.0000,0
0.8857,1.5500,2019-08-27,0.0000,1.5500,1.5500,1.5500,1.0000,0
0.8857,1.5500,2019-08-26,0.0000,1.5500,1.5500,1.5500,1.0000,0
0.8857,1.5500,2019-08-23,0.0000,1.5500,1.5500,1.5500,1.0000,0
0.8857,1.5500,2019-08-22,0.0000,1.5500,1.5500,1.5500,1.0000,0
0.8857,1.5500,2019-08-21,0.0000,1.5500,1.5500,1.5500,1.0000,0
0.8857,1.5500,2019-08-20,0.0000,1.5500,1.5500,1.5500,1.0000,0
0.8857,1.5500,2019-08-19,0.0000,1.5500,1.5500,1.5500,1.0000,0
0.8857,1.5500,2019-08-16,0.0000,1.5500,1.5500,1.5500,1.0000,0
0.8857,1.5500,2019-08-15,0.0000,1.5500,1.5500,1.5500,1.0000,0
0.8857,1.5500,2019-08-14,0.0000,1.5500,1.5500,1.5500,1.0000,0
0.8857,1.5500,2019-08-13,0.0000,1.5500,1.5500,1.5500,1.0000,0
0.8857,1.5500,2019-08-12,0.0000,1.5500,1.5500,1.5500,1.0000,0
0.8857,1.5500,2019-08-09,0.0000,1.5500,1.5500,1.5500,1.0000,0
0.8857,1.5500,2019-08-08,0.0000,1.5500,1.5500,1.5500,1.0000,0
0.8857,1.5500,2019-08-07,0.0000,1.5500,1.5500,1.5500,1.0000,0
0.8857,1.5500,2019-08-06,0.0000,1.5500,1.5500,1.5500,1.0000,0
0.8857,1.5500,2019-08-05,0.0000,1.5500,1.5500,1.5500,1.0000,0
0.8857,1.5500,2019-08-02,0.0000,1.5500,1.5500,1.5500,1.0000,0
0.8857,1.5500,2019-08-01,0.0000,1.5500,1.5500,1.5500,1.0000,0
0.8857,1.5500,2019-07-31,0.0000,1.5500,1.5500,1.5500,1.0000,0
0.8857,1.5500,2019-07-30,0.0000,1.5500,1.5500,1.5500,1.0000,0
0.8857,1.5500,2019-07-29,0.0000,1.5500,1.5500,1.5500,1.0000,0
0.8857,1.5500,2019-07-26,0.0000,1.5500,1.5500,1.5500,1.0000,0
0.8857,1.5500,2019-07-25,0.0000,1.5500,1.5500,1.5500,1.0000,0
0.8857,1.5500,2019-07-24,0.0000,1.5500,1.5500,1.5500,1.0000,0
0.8857,1.5500,2019-07-23,0.0000,1.5500,1.5500,1.5500,1.0000,0
0.8857,1.5500,2019-07-22,0.0000,1.5500,1.5500,1.5500,1.0000,0
0.8857,1.5500,2019-07-19,0.0000,1.5500,1.5500,1.5500,1.0000,0
0.8857,1.5500,2019-07-18,0.0000,1.5500,1.5500,1.5500,1.0000,5389
0.8857,1.5500,2019-07-17,0.0000,1.5500,1.5500,1.5500,1.0000,0
0.8857,1.5500,2019-07-16,0.0000,1.5500,1.5500,1.5500,1.0000,0
